,U,delta,r
228,7.665298938751221,1.0784088373184204,5.7050503528444096e-05
229,7.665298938751221,1.0907142162322998,5.7701487094163895e-05
230,7.665298938751221,1.1205312013626099,5.927887832513079e-05
231,7.665298938751221,0.9965745806694031,5.272126873023808e-05
232,7.665298938751221,0.9157086610794067,4.844326031161472e-05
233,7.665298938751221,0.8723379969596863,4.614884528564289e-05
234,7.665298938751221,0.9689726829528809,5.126105679664761e-05
235,7.665298938751221,0.8568253517150879,4.5328186388360336e-05
236,7.665298938751221,0.9155701994895935,4.843593342229724e-05
237,7.665298938751221,1.0160703659057617,5.375263936002739e-05
238,7.665298938751221,1.081168532371521,5.7196499255951494e-05
239,7.665298938751221,1.0676054954528809,5.6478980695828795e-05
240,7.665298938751221,1.105025291442871,5.845857594977133e-05
241,7.665298938751221,1.1336901187896729,5.997501648380421e-05
242,7.665298938751221,0.9830851554870605,5.200764280743897e-05
243,7.665298938751221,0.8251890540122986,4.365454879007302e-05
244,7.665298938751221,0.9034570455551147,4.779511800734326e-05
245,7.665298938751221,1.0065017938613892,5.324644371285103e-05
246,7.665298938751221,1.1529645919799805,6.099468737374991e-05
247,7.665298938751221,1.0762487649917603,5.693623097613454e-05
248,7.665298938751221,1.1568726301193237,6.120142643339932e-05
249,7.665298938751221,1.1336292028427124,5.9971796872559935e-05
250,7.665298938751221,1.0290087461471558,5.443711779662408e-05
251,7.665298938751221,1.0455968379974365,5.5314667406491935e-05
252,7.665298938751221,1.0570476055145264,5.59204381715972e-05
253,7.665298938751221,1.2009621858596802,6.35338801657781e-05
254,7.665298938751221,1.1155204772949219,5.901380063733086e-05
255,7.665298938751221,1.0879825353622437,5.755697566200979e-05
256,7.665298938751221,1.0698717832565308,5.65988702874165e-05
257,7.665298938751221,1.2024637460708618,6.361331907100976e-05
258,7.665298938751221,1.2580877542495728,6.65559564367868e-05
259,7.665298938751221,1.27737295627594,6.757619848940521e-05
260,7.665298938751221,1.3476566076278687,7.129438017727807e-05
261,7.665298938751221,1.4692635536193848,7.772768731229007e-05
262,7.665298938751221,1.6302804946899414,8.624588372185826e-05
263,7.665298938751221,1.5598810911178589,8.252157567767426e-05
264,7.665298938751221,1.4812403917312622,7.836128497729078e-05
265,7.665298938751221,1.4833446741104126,7.84726144047454e-05
266,7.665298938751221,1.4805818796157837,7.832645496819168e-05
267,7.665298938751221,1.3976680040359497,7.394010026473552e-05
268,7.665298938751221,1.3602855205535889,7.196247315732762e-05
269,7.665298938751221,1.35446298122406,7.165444549173117e-05
270,7.665298938751221,1.2242398262023926,6.476532144006342e-05
271,7.665298938751221,1.1291790008544922,5.97363687120378e-05
272,7.665298938751221,1.064073085784912,5.62921013624873e-05
273,7.665298938751221,1.118688941001892,5.9181416872888803e-05
274,7.665298938751221,1.0452309846878052,5.529531335923821e-05
275,7.665298938751221,1.0792920589447021,5.7097226090263575e-05
276,7.665298938751221,1.1322228908538818,5.98973965679761e-05
277,7.665298938751221,1.2708871364593506,6.723307888023555e-05
278,7.665298938751221,1.3231631517410278,6.999861216172576e-05
279,7.665298938751221,1.272262692451477,6.7305845732335e-05
280,7.665298938751221,1.194024682044983,6.316686631180346e-05
281,7.665298938751221,1.2465250492095947,6.59442666801624e-05
282,7.665298938751221,1.2709177732467651,6.723470141878352e-05
283,7.665298938751221,1.2856979370117188,6.801661220379174e-05
284,7.665298938751221,1.2801202535629272,6.772153574274853e-05
285,7.665298938751221,1.330934762954712,7.040975469863042e-05
286,7.665298938751221,1.4424926042556763,7.63114367146045e-05
287,7.665298938751221,1.5553911924362183,8.228405204135925e-05
288,7.665298938751221,1.6017205715179443,8.473498746752739e-05
289,7.665298938751221,1.4884790182113647,7.874423317844048e-05
290,7.665298938751221,1.5769625902175903,8.342523506144062e-05
291,7.665298938751221,1.5038288831710815,7.955627370392904e-05
292,7.665298938751221,1.634753704071045,8.648252696730196e-05
293,7.665298938751221,1.519975185394287,8.041045657591894e-05
